,FIPS,democrat,republican,prcpMm,prcpMm1015,shareRep,year,shareDem,avgTemp,avgTempPast,tempDiff,rainDiff,booYear,booRain,booPastRain
69,5059.0,3830.0,7097.0,0.317063492063492,0.317063492063492,0.6302841918294849,2012,0.3401420959147424,11.32222222222224,11.32222222222224,0.0,0.0,False,True,True
125,5087.0,1588.0,4928.0,12.2,6.29722222222222,0.5044528610912069,2016,0.16255502098474767,11.9,10.200000000000014,1.6999999999999869,5.9027777777777795,True,True,True
70,5087.0,2099.0,4263.0,6.29722222222222,6.29722222222222,0.6490560292326432,2012,0.3195797807551766,10.200000000000014,10.200000000000014,0.0,0.0,False,True,True
71,5095.0,1583.0,1585.0,0.0,0.0,0.4907120743034056,2012,0.49009287925696593,11.429166666666665,11.429166666666665,0.0,0.0,False,False,False
129,5095.0,1312.0,1489.0,2.5,0.0,0.3321436538032567,2016,0.29266116439884005,15.25,11.429166666666665,3.8208333333333346,2.5,True,True,False
72,5111.0,2390.0,4974.0,0.0,0.0,0.6579365079365079,2012,0.31613756613756616,10.641666666666664,10.641666666666664,0.0,0.0,False,False,False
73,5121.0,2046.0,3701.0,0.10666666666666699,0.10666666666666699,0.621390194761585,2012,0.3435191403626595,9.816666666666666,9.816666666666666,0.0,0.0,False,False,False
141,5121.0,1425.0,4509.0,0.0,0.10666666666666699,0.436411149825784,2016,0.13792102206736354,15.55,9.816666666666666,5.733333333333334,-0.10666666666666699,True,False,False
144,5127.0,602.0,2731.0,2.7,0.42638888888888893,0.5143126177024482,2016,0.11337099811676082,15.0,10.975,4.025,2.2736111111111112,True,True,True
74,5127.0,897.0,2631.0,0.42638888888888893,0.42638888888888893,0.7228021978021978,2012,0.24642857142857144,10.975,10.975,0.0,0.0,False,True,True
75,5147.0,1340.0,1227.0,0.0,0.0,0.4569832402234637,2012,0.49906890130353815,10.85,10.85,0.0,0.0,False,False,False
78,9005.0,43856.0,47201.0,3.21944444444444,3.21944444444444,0.5106841074577775,2012,0.47449338396788815,4.887499999999983,4.887499999999983,0.0,0.0,False,True,True
280,9005.0,39775.0,53051.0,0.0,3.21944444444444,0.411292698432388,2016,0.3083667994976199,4.300000000000001,4.887499999999983,-0.5874999999999826,-3.21944444444444,True,False,True
81,9011.0,67144.0,46119.0,3.725,3.725,0.4006793974040416,2012,0.5833434692707338,6.983333333333334,6.983333333333334,0.0,0.0,False,True,True
283,9011.0,62278.0,54058.0,0.0,3.725,0.30164947993393154,2016,0.3475179679478595,8.9,6.983333333333334,1.916666666666666,-3.725,True,False,True
82,9013.0,25957.0,19768.0,4.986111111111111,4.986111111111111,0.4243152743195673,2012,0.5571606422254658,4.933333333333332,4.933333333333332,0.0,0.0,False,True,True
284,9013.0,38506.0,34194.0,0.0,4.986111111111111,0.33499554240592516,2016,0.3772398185612258,4.175,4.933333333333332,-0.758333333333332,-4.986111111111111,True,False,True
83,9015.0,25957.0,19768.0,2.58611111111111,2.58611111111111,0.4251731406202951,2012,0.558287090807416,5.387500000000012,5.387500000000012,0.0,0.0,False,True,True
285,9015.0,21792.0,25747.0,0.0,2.58611111111111,0.3385713910001841,2016,0.2865633958393604,5.199999999999986,5.387500000000012,-0.18750000000002576,-2.58611111111111,True,False,True
84,10001.0,35527.0,32135.0,2.70444444444444,2.70444444444444,0.46778560614882964,2012,0.5171625713287528,8.241666666666685,8.241666666666685,0.0,0.0,False,True,True
286,10001.0,33351.0,36991.0,0.0,2.70444444444444,0.3183363310126419,2016,0.287011299386408,10.850000000000001,8.241666666666685,2.6083333333333165,-2.70444444444444,True,False,True
310,12043.0,1271.0,2996.0,0.0,1.67529761904762,0.4110303196597613,2016,0.17437234188503223,21.375,20.61041666666665,0.7645833333333485,-1.67529761904762,True,False,True
87,12043.0,1603.0,2344.0,1.67529761904762,1.67529761904762,0.5876159438455754,2012,0.40185510152920534,20.61041666666665,20.61041666666665,0.0,0.0,False,True,True
521,16003.0,415.0,1556.0,0.0,3.15277777777778,0.5465402177730945,2016,0.14576747453459782,9.82222222222221,1.6023148148148147,8.219907407407396,-3.15277777777778,True,False,True
91,16003.0,577.0,1413.0,3.15277777777778,3.15277777777778,0.6859223300970874,2012,0.28009708737864075,1.6023148148148147,1.6023148148148147,0.0,0.0,False,True,True
92,16005.0,13214.0,21010.0,3.23987054612055,3.23987054612055,0.5958593306863301,2012,0.374758933635848,3.9411210317460297,3.9411210317460297,0.0,0.0,False,True,True
522,16005.0,10342.0,17180.0,0.0,3.23987054612055,0.3590011493051928,2016,0.21611116915682793,8.35625,3.9411210317460297,4.41512896825397,-3.23987054612055,True,False,True
523,16007.0,255.0,2203.0,0.0,0.444444444444444,0.6022416621104428,2016,0.06971022416621105,5.9375,2.4270833333333353,3.5104166666666647,-0.444444444444444,True,False,True
93,16007.0,302.0,2489.0,0.444444444444444,0.444444444444444,0.8819985825655563,2012,0.10701630049610206,2.4270833333333353,2.4270833333333353,0.0,0.0,False,True,True
524,16009.0,770.0,3103.0,0.0,4.8625,0.5697759823723834,2016,0.14138817480719795,9.15,4.129166666666665,5.020833333333336,-4.8625,True,False,True
94,16009.0,1164.0,2596.0,4.8625,4.8625,0.6683831101956745,2012,0.2996910401647786,4.129166666666665,4.129166666666665,0.0,0.0,False,True,True
95,16011.0,3822.0,13440.0,2.2108333333333303,2.2108333333333303,0.7635062205305914,2012,0.21712208146338693,3.98333333333335,3.98333333333335,0.0,0.0,False,True,True
